State,District,Population,Growth (%),Sex Ratio,Literacy (%)
Uttar Pradesh,Unnao,3108367,15.11,907,66.37
Uttar Pradesh,Deoria,3100946,14.31,1017,71.13
Kerala,Kozhikode,3086293,7.2,1098,95.08
Maharashtra,Mumbai City,3085411,-7.57,832,89.21
Tamil Nadu,Tirunelveli,3077233,12.97,1023,82.5
Bihar,Katihar,3071029,28.35,919,52.24
Rajasthan,Udaipur,3068420,23.69,958,61.82
Tamil Nadu,Madurai,3038252,17.84,990,83.45
Bihar,Bhagalpur,3037766,25.36,880,63.14
Andhra Pradesh,Medak,3033288,13.6,992,61.42
West Bengal,Uttar Dinajpur,3007134,23.15,939,59.07
Uttar Pradesh,Shahjahanpur,3006538,18,872,59.54
Maharashtra,Satara,3003741,6.93,988,82.87
Karnataka,Mysore,3001127,13.63,985,72.79
Bihar,Begusarai,2970541,26.44,895,63.87
Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557,11.05,985,68.9
Bihar,Rohtas,2959918,20.78,918,73.37
West Bengal,Puruliya,2930115,15.52,957,64.48
Jharkhand,Ranchi,2914253,23.98,949,76.06
Maharashtra,Amravati,2888445,10.79,951,87.38
Andhra Pradesh,YSR,2882469,10.79,985,67.3
Gujarat,Bhavnagar,2880365,16.63,933,75.52
Bihar,Nalanda,2877653,21.39,922,64.43
Assam,Nagaon,2823768,22,962,72.37
Maharashtra,Sangli,2822143,9.24,966,81.48
West Bengal,Koch Bihar,2819086,13.71,942,74.78
Bihar,Araria,2811569,30.25,921,53.53
Kerala,Palakkad,2809934,7.35,1067,89.31
Andhra Pradesh,Khammam,2797370,8.47,1011,64.81
Maharashtra,Yavatmal,2772348,12.78,952,82.82
Gujarat,Junagadh,2743082,12.05,953,75.8
Andhra Pradesh,Adilabad,2741239,10.18,1001,61.01
Delhi,South Delhi,2731929,20.51,862,86.57
Bihar,Bhojpur,2728407,21.63,907,70.47
Tamil Nadu,Tiruchirappalli,2722290,12.57,1013,83.23
Andhra Pradesh,Srikakulam,2703114,6.52,1015,61.74
Uttar Pradesh,Maharajganj,2684703,23.5,943,62.76
Jharkhand,Dhanbad,2684487,11.99,909,74.52
Karnataka,Tumkur,2678980,3.65,984,75.14
Rajasthan,Sikar,2677333,17.03,947,71.91
Chhattisgarh,Bilaspur,2663629,33.29,971,70.78
Kerala,Kollam,2635375,1.94,1113,94.09
Maharashtra,Raigarh,2634200,19.31,959,83.14
Uttar Pradesh,Fatehpur,2632733,14.05,901,67.43
Orissa,Cuttack,2624470,12.1,940,85.5
Tamil Nadu,Cuddalore,2605914,14.02,987,78.04
Rajasthan,Barmer,2603751,32.52,902,56.53
Maharashtra,Buldana,2586258,15.85,934,83.4
Maharashtra,Bid,2585049,19.61,916,76.99
Rajasthan,Ajmer,2583052,18.4,951,69.33
Karnataka,Gulbarga,2566326,18.01,971,64.85
Bihar,Gopalganj,2562012,19.02,1021,65.47
Uttar Pradesh,Siddharth Nagar,2559297,25.45,976,59.25
Andhra Pradesh,Nizamabad,2551335,8.77,1040,61.25
Rajasthan,Bharatpur,2548462,21.29,880,70.11
Uttar Pradesh,Mathura,2547184,22.78,863,70.36
Delhi,West Delhi,2543243,19.46,875,86.98
Bihar,Aurangabad,2540073,26.18,926,70.32
Kerala,Kannur,2523003,4.73,1136,95.1
Orissa,Mayurbhanj,2519738,13.33,1006,63.17
Uttar Pradesh,Firozabad,2498156,21.69,875,71.92
Uttar Pradesh,Mirzapur,2496970,18,903,68.48
Punjab,Amritsar,2490656,15.47,889,76.27
Tamil Nadu,Tiruppur,2479052,29.11,989,78.68
Uttar Pradesh,Faizabad,2470996,18.29,962,68.73
Tamil Nadu,Tiruvannamalai,2464875,12.75,994,74.21
Uttar Pradesh,Basti,2464464,18.21,963,67.22
Madhya Pradesh,Jabalpur,2463289,14.51,929,81.07
Maharashtra,Latur,2454196,17.97,928,77.26
Karnataka,Bellary,2452595,20.99,983,67.43
Jharkhand,Giridih,2445474,28.41,944,63.14
Gujarat,Sabarkantha,2428589,16.62,952,75.79
Rajasthan,Bhilwara,2408523,19.6,973,61.37
Tamil Nadu,Thanjavur,2405890,8.56,1035,82.64
Uttar Pradesh,Ambedkar Nagar,2397888,18.3,978,72.23
Gujarat,PanchMahal,2390776,18.05,949,70.99
Madhya Pradesh,Sagar,2378458,17.63,893,76.46
Madhya Pradesh,Bhopal,2371061,28.62,918,80.37
Madhya Pradesh,Rewa,2365106,19.86,931,71.62
Rajasthan,Bikaner,2363937,41.19,905,65.13
Chhattisgarh,Surguja,2359886,19.66,978,60.01
Andhra Pradesh,Vizianagaram,2344474,4.23,1019,58.89
Uttar Pradesh,Rampur,2335819,21.42,909,53.34
Orissa,Baleshwar,2320529,14.62,957,79.79
Gujarat,Kheda,2299885,13.62,940,82.65
Punjab,Gurdaspur,2298323,9.26,895,79.95
Jharkhand,Purbi Singhbhum,2293919,15.68,949,75.49
Delhi,South West Delhi,2292958,30.65,840,88.28
Tamil Nadu,Erode,2251744,11.66,993,72.58
Orissa,Khordha,2251673,19.94,929,86.88
Delhi,North East Delhi,2241624,26.78,886,83.09
Bihar,Supaul,2229076,28.66,929,57.67
Madhya Pradesh,Satna,2228935,19.19,926,72.26
Bihar,Nawada,2219146,22.63,939,59.76
Uttar Pradesh,Mau,2205968,18.98,979,73.09
Maharashtra,Chandrapur,2204307,6.43,961,80.01
Punjab,Jalandhar,2193590,11.76,915,82.48
Madhya Pradesh,Dhar,2185793,25.6,964,59
Karnataka,Bijapur,2177331,20.5,960,67.15
Gujarat,Jamnagar,2160119,13.44,939,73.65
Tamil Nadu,Dindigul,2159775,12.31,998,76.26
Uttar Pradesh,Balrampur,2148665,27.72,928,49.51
Rajasthan,Jhunjhunun,2137045,11.67,950,74.13
Kerala,Alappuzha,2127789,0.88,1100,95.72
Gujarat,Dohad,2127086,29.98,990,58.82
Orissa,Sundargarh,2093437,14.35,973,73.34
Gujarat,Anand,2092745,12.7,925,84.37
Gujarat,Kachchh,2092371,32.16,908,70.59
Madhya Pradesh,Chhindwara,2090922,13.07,964,71.16
Karnataka,Dakshina Kannada,2089649,10.11,1020,88.57
Jharkhand,Bokaro,2062330,16.01,922,72.01
Maharashtra,Dhule,2050862,20.08,946,72.8
Rajasthan,Churu,2039547,6.01,940,66.75
Rajasthan,Pali,2037573,11.94,987,62.39
Gujarat,Mahesana,2035064,10.73,926,83.61
Bihar,Banka,2034763,26.48,907,58.17
Madhya Pradesh,Gwalior,2032036,24.5,864,76.65
Uttar Pradesh,Pilibhit,2031007,23.45,895,61.47
Punjab,Firozpur,2029074,16.21,893,68.92
Bihar,Madhepura,2001762,31.12,911,52.25
Uttar Pradesh,Jhansi,1998603,14.54,890,75.05
Madhya Pradesh,Ujjain,1986864,16.12,955,72.34
Kerala,Kottayam,1974551,1.07,1039,97.21
Rajasthan,Ganganagar,1969168,10.04,887,69.64
Madhya Pradesh,Morena,1965970,23.44,840,71.03
Maharashtra,Jalna,1959046,21.46,937,71.52
Uttar Pradesh,Chandauli,1952756,18.83,918,71.48
Rajasthan,Kota,1951014,24.39,911,76.56
Assam,Dhubri,1949258,24.44,953,58.34
Karnataka,Davanagere,1945497,8.63,972,75.74
Tamil Nadu,Virudhunagar,1942288,10.91,1007,80.15
Jharkhand,Palamu,1939869,26.17,928,63.63
Karnataka,Raichur,1928812,15.51,1000,59.56
Assam,Sonitpur,1924110,15.55,956,67.34
Bihar,Saharsa,1900661,26.02,906,53.2
Punjab,Patiala,1895686,19.62,891,75.28
Uttarakhand,Haridwar,1890422,30.63,880,73.43
Karnataka,Bagalkot,1889752,14.4,989,68.82
Uttar Pradesh,Farrukhabad,1885204,20.05,874,69.04
Tamil Nadu,Krishnagiri,1879809,20.41,958,71.46
Madhya Pradesh,West Nimar,1873046,22.85,965,62.7
Tamil Nadu,Kanniyakumari,1870374,11.6,1019,91.75
Uttar Pradesh,Mainpuri,1868529,17.02,881,75.99
Uttar Pradesh,Sonbhadra,1862559,27.27,918,64.03
Karnataka,Dharwad,1847023,15.13,971,80
West Bengal,Darjiling,1846823,14.77,970,79.56
Uttar Pradesh,Jyotiba Phule Nagar,1840221,22.76,910,63.84
Maharashtra,Parbhani,1836086,20.19,947,73.34
Rajasthan,Jalor,1828730,26.21,952,54.86
Orissa,Jajapur,1827192,12.49,973,80.13
Maharashtra,Akola,1813906,11.27,946,88.05
Haryana,Faridabad,1809733,32.54,873,81.7
Karnataka,Mandya,1805769,2.38,995,70.4
Orissa,Kendujhar,1801733,15.35,988,68.24
Uttar Pradesh,Banda,1799410,17.05,863,66.67
Rajasthan,Banswara,1797485,26.53,980,56.33
Uttar Pradesh,Ramabai Nagar,1796184,14.89,865,75.78
Karnataka,Hassan,1776421,3.18,1010,76.07
Rajasthan,Hanumangarh,1774692,16.91,906,67.13
Uttar Pradesh,Etah,1774480,13.62,873,70.81
Madhya Pradesh,Chhattarpur,1762375,19.51,883,63.74
Bihar,Jamui,1760405,25.85,922,59.79
Gujarat,Surendranagar,1756268,15.91,930,72.13
Karnataka,Shimoga,1752753,6.71,998,80.45
Tamil Nadu,Thoothukkudi,1750176,11.32,1023,86.16
Haryana,Hisar,1743931,13.45,872,72.89
Assam,Cachar,1736617,20.19,959,79.34
Jharkhand,Hazaribagh,1734495,20.65,947,69.75
Tamil Nadu,Namakkal,1726601,15.61,986,74.63
Madhya Pradesh,Shivpuri,1726050,22.76,877,62.55
Tripura,West Tripura,1725739,12.57,962,88.69
Uttar Pradesh,Sant Kabir Nagar,1715183,20.77,972,66.72
Delhi,East Delhi,1709346,16.79,884,89.31
Bihar,Buxar,1706352,21.67,922,70.14
Gujarat,Valsad,1705678,20.92,922,78.55
Karnataka,Bidar,1703300,13.37,956,70.51
Madhya Pradesh,Bhind,1703005,19.21,837,75.26
Madhya Pradesh,Balaghat,1701698,13.6,1021,77.09
Orissa,Puri,1698730,13.05,963,84.67
Uttarakhand,Dehradun,1696694,32.33,902,84.25
Assam,Barpeta,1693622,21.43,953,63.81
Bihar,Kishanganj,1690400,30.4,950,55.46
Uttar Pradesh,Jalaun,1689974,16.19,865,73.75
West Bengal,Dakshin Dinajpur,1676276,11.52,956,72.82
Bihar,Khagaria,1666886,30.19,886,57.92
Karnataka,Chitradurga,1659456,9.33,974,73.71
Maharashtra,Osmanabad,1657576,11.5,924,78.44
Uttar Pradesh,Kannauj,1656616,19.27,879,72.7
Punjab,Sangrur,1655169,12.35,885,67.99
Orissa,Balangir,1648997,23.32,987,64.72
Uttarakhand,Udham Singh Nagar,1648902,33.45,920,73.1
Maharashtra,Nandurbar,1648295,25.66,978,64.38
Uttar Pradesh,Gautam Buddha Nagar,1648115,37.11,851,80.12
Haryana,Bhiwani,1634445,14.7,886,75.21
Rajasthan,Dausa,1634409,24.09,905,68.16
Bihar,Kaimur,1626384,26.17,920,69.34
Chhattisgarh,Janjgir Champa,1619707,22.94,986,73.07
Tamil Nadu,Pudukkottai,1618345,10.88,1015,77.19
Tamil Nadu,Nagapattinam,1616450,8.57,1025,83.59
Maharashtra,Ratnagiri,1615069,-4.82,1122,82.18
Uttar Pradesh,Kaushambi,1599596,23.7,908,61.28
Karnataka,Haveri,1597668,11.02,950,77.4
Punjab,Hoshiarpur,1586625,7.11,961,84.59
